county,mean_county_price,median_county_price
nowosądecki,306502.78,282500.0
nowotarski,265973.03,269636.94
nowotomyski,234702.5,234702.5
nyski,155060.0,147000.0
obornicki,224661.25,242011.0
olecki,136552.8,134764.0
oleski,166750.0,151750.0
oleśnicki,260910.69,230000.0
olkuski,220484.4,252042.0
olsztyński,349562.5,257000.0
opolski,179993.33,170000.0
ostrowiecki,145857.14,110000.0
ostrowski,200865.67,177501.97
ostródzki,236910.77,235000.0
otwocki,338221.06,295000.0
oławski,257616.48,242817.0
oświęcimski,217641.53,195000.0
pabianicki,234667.11,219000.0
piaseczyński,414421.25,348000.0
pilski,340418.7,348000.0
pińczowski,139900.0,139900.0
pleszewski,176333.33,200000.0
policki,229445.58,200000.0
polkowicki,218428.38,193880.0
poznański,283115.6,269000.0
proszowicki,202500.0,202500.0
prudnicki,294031.88,222836.0
pruszkowski,322135.84,309000.0
przasnyski,252500.0,252500.0
przeworski,141999.5,141999.5
pszczyński,266571.44,265000.0
pucki,763012.44,580000.0
puławski,269525.0,247800.0
pułtuski,192000.0,192000.0
pyrzycki,165889.45,164000.0
płoński,185000.0,185000.0
raciborski,164100.0,141450.0
radomszczański,199262.5,194500.0
radziejowski,171950.0,167000.0
rawicki,214428.17,177422.5
ropczycko-sędziszowski,271155.0,271155.0
rybnicki,133300.0,130000.0
rycki,195000.0,195000.0
rypiński,174321.0,189000.0
rzeszowski,265950.53,283080.0
sandomierski,313950.0,313950.0
sanocki,146500.0,146500.0
sejneński,139000.0,139000.0
siemiatycki,156440.0,160000.0
sieradzki,260000.0,260000.0
sierpecki,124250.0,124250.0
skarżyski,194692.0,145000.0
sokołowski,305000.0,305000.0
sokólski,180580.0,179000.0
starachowicki,218525.5,222053.0
stargardzki,212439.25,195500.0
starogardzki,240164.52,234000.0
strzelecki,353653.84,344500.0
strzelecko-drezdenecki,168875.0,167500.0
strzeliński,203800.0,219000.0
sulęciński,202500.0,202500.0
suski,225000.0,225000.0
szamotulski,197570.58,204000.0
szczecinecki,174411.98,159500.0
szczycieński,197692.45,190000.0
sztumski,140000.0,135000.0
szydłowiecki,51331.668,45000.0
sępoleński,194000.0,194000.0
sławieński,359598.4,237000.0
słubicki,308747.5,299995.0
słupecki,163800.0,165000.0
słupski,324376.94,299000.0
tarnogórski,199585.61,167171.0
tarnowski,112000.0,112000.0
tatrzański,651606.7,585000.0
tczewski,248617.2,250000.0
tomaszowski,221531.4,208610.0
toruński,59999.0,59999.0
trzebnicki,277466.66,325000.0
tucholski,204599.8,190000.0
turecki,133478.4,98900.0
wadowicki,261350.83,247950.0
warszawski zachodni,310073.47,288900.0
wałbrzyski,132415.47,117000.0
wałecki,277447.06,201102.0
wejherowski,319118.1,294843.5
wielicki,328041.53,289776.0
wieluński,298684.66,288066.0
wieruszowski,173630.47,156351.0
wodzisławski,110811.664,105500.0
wolsztyński,222250.0,224600.0
wołomiński,342831.8,338896.0
wołowski,174119.58,158000.0
wrocławski,299691.53,284889.0
wrzesiński,220587.86,223992.0
wschowski,202755.38,224000.0
wysokomazowiecki,251202.8,246960.0
wąbrzeski,150000.0,150000.0
wągrowiecki,139656.12,141205.0
węgorzewski,164257.14,175000.0
węgrowski,280000.0,280000.0
włocławski,90000.0,90000.0
włoszczowski,248000.0,248000.0
zambrowski,240000.0,237500.0
zamojski,658109.5,556754.0
zawierciański,217711.95,173000.0
zduńskowolski,139000.0,139000.0
zgierski,208384.52,164000.0
zgorzelecki,184285.72,189000.0
zielonogórski,158622.61,165000.0
ząbkowicki,131458.33,122000.0
złotoryjski,167250.0,162000.0
złotowski,161858.22,169990.0
Łomża[a],256948.4,250000.0
Łódź[a],304718.2,265061.0
łaski,177517.14,169000.0
łańcucki,241451.38,235447.0
łobeski,139150.0,132000.0
łukowski,169450.0,169450.0
łęczyński,219666.67,230000.0
Świnoujście[a],527235.8,463500.0
Świętochłowice[a],163029.77,142250.0
średzki,227054.88,236140.0
śremski,206460.81,192500.0
świdnicki,243174.14,220000.0
świdwiński,165865.39,159500.0
świebodziński,212214.28,179000.0
świecki,238265.94,239000.0
Żory[a],253250.72,239949.0
żagański,170373.6,163000.0
żarski,305349.3,290215.0
żniński,217000.0,217000.0
żyrardowski,226055.62,209500.0
żywiecki,315500.0,319500.0
