city,mean_city_price,median_city_price
Konstantynów Łódzki,272262.5,267500.0
Koronowo,100000.0,100000.0
Kostrzyn,374500.0,374500.0
Koszalin,258813.47,249000.0
Kowary,163333.33,170000.0
Koziegłowy,275000.0,269000.0
Kozienice,210000.0,210000.0
Koło,356793.0,386136.0
Kołobrzeg,427917.16,399000.0
Końskie,155000.0,155000.0
Kościan,194465.77,192787.6
Kościerzyna,282714.16,302947.5
Kożuchów,181500.0,182500.0
Kraków,529502.5,416305.0
Krapkowice,160050.4,163000.0
Krasnystaw,152867.38,149319.25
Kraśnik,153800.0,155000.0
Krosno,172212.94,160000.0
Krosno Odrzańskie,180427.39,157336.0
Krotoszyn,184900.0,184900.0
Kruszwica,129900.0,129900.0
Krynica Morska,546658.06,428291.5
Krynica-Zdrój,314753.06,294500.0
Krynki,89000.0,89000.0
Krzeszowice,285818.6,279220.0
Kudowa-Zdrój,321716.34,360000.0
Kutno,265000.0,265000.0
Kuźnia Raciborska,73000.0,73000.0
Kwidzyn,278283.22,293160.0
Kórnik,276542.84,285000.0
Kąty Wrocławskie,240000.0,240000.0
Kędzierzyn-Koźle,151928.58,140000.0
Kępice,87000.0,87000.0
Kępno,245200.0,299000.0
Kętrzyn,191666.67,135000.0
Kęty,181600.0,185000.0
Kłecko,233500.0,233500.0
Kłodzko,169510.84,166250.0
Legionowo,350593.7,345000.0
Legnica,236099.27,225000.0
Leszno,254888.3,238812.0
Lewin Brzeski,129975.0,122500.0
Leśna,414839.6,432884.0
Leśnica,418850.0,383500.0
Libiąż,178200.0,189000.0
Lidzbark,135666.67,137000.0
Lidzbark Warmiński,121650.0,134300.0
Limanowa,214800.0,219000.0
Lipiany,114833.336,97000.0
Lipno,211000.0,219000.0
Lubawa,205000.0,205000.0
Lubawka,37000.0,37000.0
Lubań,155600.0,169000.0
Lubin,210184.6,195000.0
Lublin,341656.47,314900.0
Lubliniec,272940.0,239000.0
Lubniewice,202500.0,202500.0
Luboń,304556.25,285000.0
Lubsko,141211.11,160000.0
Lwówek Śląski,112500.0,112500.0
Lądek-Zdrój,111200.0,100600.0
Lębork,201079.4,186703.66
Maków Podhalański,225000.0,225000.0
Malbork,205157.14,177000.0
Marki,344656.1,339000.0
Maszewo,155166.67,177500.0
Małomice,212646.75,203293.5
Miasteczko Śląskie,102115.625,90000.0
Miastko,183000.0,183000.0
Michałowo,145250.0,151500.0
Mielec,274324.2,267000.0
Mielno,525162.9,273960.0
Mieszkowice,130000.0,130000.0
Mikołajki,239000.0,239000.0
Mikołów,325666.44,314750.0
Milanówek,340458.0,320568.0
Mirsk,125000.0,125000.0
Międzychód,184333.33,178000.0
Międzylesie,382016.75,342000.0
Międzyrzecz,238863.7,268069.4
Międzyzdroje,474432.84,397000.0
Miłosław,148460.0,148460.0
Mińsk Mazowiecki,268249.84,264500.0
Mogilno,187000.0,187000.0
Morąg,162000.0,162000.0
Mosina,251662.5,255400.0
Mońki,225000.0,225000.0
Mrągowo,218140.0,208700.0
Mszana Dolna,251440.0,251440.0
Murowana Goślina,320293.75,279499.5
Myszków,224333.33,264000.0
Mysłowice,228182.84,200000.0
Myślenice,304544.47,279900.0
Myślibórz,99500.0,99500.0
Mława,211275.3,190000.0
Młynary,188000.0,179000.0
Nakło nad Notecią,139000.0,139000.0
Namysłów,165950.42,169500.0
Nałęczów,298608.2,285450.0
Nidzica,158051.11,155000.0
Niemcza,127666.79,139000.0
Niemodlin,212250.0,192500.0
Niepołomice,268461.53,238059.0
Nowa Ruda,129500.0,129500.0
Nowa Sarzyna,125000.0,125000.0
Nowa Sól,217662.86,201000.0
Nowe Miasteczko,256000.0,256000.0
Nowe Skalmierzyce,227417.0,239900.0
Nowe Warpno,176209.42,180702.0
Nowogard,232000.0,232000.0
Nowogród Bobrzański,105000.0,105000.0
Nowy Dwór Gdański,201333.33,187000.0
Nowy Dwór Mazowiecki,231196.0,201666.0
Nowy Staw,179000.0,179000.0
Nowy Sącz,256424.42,244380.0
Nowy Targ,257647.22,247500.0
Nysa,194521.73,195000.0
Oborniki,240327.14,245022.0
Oborniki Śląskie,298500.0,312500.0
Odolanów,194239.5,194239.5
Olecko,136552.8,134764.0
Olesno,194583.33,184250.0
Oleśnica,267814.38,230000.0
Olkusz,245605.5,256116.0
Olsztyn,306681.12,285000.0
Olsztynek,869333.3,349000.0
Olszyna,55500.0,55500.0
Opole,337901.7,319500.0
Orneta,142333.33,130000.0
Ostroróg,235000.0,235000.0
Ostrowiec Świętokrzyski,145857.14,110000.0
Ostrołęka,146333.33,144000.0
Ostróda,250530.9,249000.0
Ostrów Mazowiecka,200200.0,200200.0
Ostrów Wielkopolski,199627.55,177034.1
Otmuchów,120000.0,120000.0
Otwock,338221.06,295000.0
Ozimek,142375.0,117500.0
Ozorków,135800.0,139000.0
Oława,257823.72,242634.0
Ośno Lubuskie,265000.0,265000.0
Oświęcim,283059.0,267500.0
Ożarów Mazowiecki,400577.94,416008.0
Pabianice,230244.12,218000.0
Paczków,103111.11,85000.0
Pasłęk,198000.0,198000.0
Pelplin,179500.0,179500.0
Pełczyce,149333.33,140000.0
Piaseczno,386379.88,348000.0
Piaski,338997.44,291603.0
Piastów,243085.84,226536.0
Piechowice,166000.0,148000.0
Piekary Śląskie,171749.9,158949.5
Pieszyce,116846.08,125000.0
Piotrków Trybunalski,210114.78,175000.0
Piła,216657.14,214268.0
Piława Górna,104421.43,92500.0
Pińczów,139900.0,139900.0
Pleszew,189875.0,205000.0
Pniewy,218100.72,212126.3
Pobiedziska,227463.56,225000.0
Polanica-Zdrój,385108.66,317284.66
Polanów,210000.0,210000.0
Police,260500.0,253500.0
Polkowice,223986.4,200840.0
Poniatowa,342900.0,342900.0
Poręba,334380.0,330000.0
Poznań,394143.47,348893.75
Połczyn-Zdrój,129291.664,129625.0
Prabuty,108525.0,108525.0
Praszka,125000.0,122500.0
Proszowice,202500.0,202500.0
Prudnik,118500.0,113500.0
Pruszcz Gdański,372288.56,323510.7
Pruszków,363946.9,350000.0
Przasnysz,252500.0,252500.0
Przecław,307900.0,309000.0
Przemków,114000.0,114000.0
Przemyśl,170286.06,155932.5
Przeworsk,141999.5,141999.5
Prószków,184500.0,184500.0
Pszczyna,266571.44,265000.0
Pszów,104988.89,92000.0
Puck,262484.7,253011.0
Puszczykowo,389000.0,389000.0
Puławy,245730.69,243600.0
Pułtusk,192000.0,192000.0
Pyrzyce,179813.84,176901.5
Pyskowice,242444.44,289000.0
Płock,181895.0,186000.0
Płoty,162625.72,125000.0
Płońsk,185000.0,185000.0
Rabka-Zdrój,289940.0,317500.0
Racibórz,168894.73,143000.0
Radków,24000.0,24000.0
Radlin,96146.16,85000.0
Radom,236051.16,222500.0
Radomsko,199262.5,194500.0
Radziejów,171950.0,167000.0
Radzionków,134702.39,139000.0
Radzymin,311940.8,311740.5
Rawicz,235392.25,179069.0
Recz,147128.58,129000.0
Reda,330095.34,319958.0
Rejowiec,140000.0,140000.0
Resko,125625.0,132000.0
Reszel,250000.0,250000.0
Rogoźno,115000.0,115000.0
Ropczyce,271155.0,271155.0
Ruda Śląska,154799.97,142000.0
Rumia,342213.3,319000.0
Rybnik,201542.06,185000.0
Rydułtowy,106944.445,105000.0
Rydzyna,254500.0,254500.0
Rymanów,180000.0,180000.0
Rypin,174321.0,189000.0
Rzeszów,309250.03,297000.0
Sandomierz,313950.0,313950.0
Sanok,170000.0,170000.0
Sejny,139000.0,139000.0
Sianów,147504.17,156600.0
Siechnice,309815.44,289100.0
Siedlce,389923.88,370000.0
Siemianowice Śląskie,208525.3,214207.0
Siemiatycze,156440.0,160000.0
Sieradz,260000.0,260000.0
Sieraków,169000.0,169000.0
Sierpc,124250.0,124250.0
